"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/47","78/9376",0.0512820512820513,10.2302236770322,5.81007550764955,0.000602693134415032,0.00281256796060348,0.00146267632036397,"3688/7040/7043/3586",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","7/47","298/9376",0.023489932885906,4.68599171783521,4.58970125941091,0.000644268555546623,0.00290564645869105,0.00151108180495838,"7040/7043/650/3586/3557/6347/6387",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","7/47","299/9376",0.0234113712374582,4.67031950473209,4.5781004629442,0.000657229556132499,0.00290564645869105,0.00151108180495838,"3678/3688/3690/60/7846/4478/7430",7
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","5/47","170/9376",0.0294117647058824,5.86733416770964,4.54566220878936,0.00153109543204401,0.00659548801495882,0.00342998436868159,"3688/60/7846/4478/7430",5
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","4/47","103/9376",0.0388349514563107,7.74715967775253,4.88704672516052,0.00170497660883982,0.00716090175712723,0.00372402785615013,"7040/7043/3586/6347",4
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/47","50/9376",0.06,11.9693617021277,5.51995674192394,0.00196189013986281,0.00803896447553543,0.00418066448289123,"7040/3586/6387",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","4/47","116/9376",0.0344827586206897,6.87894350696992,4.52209632302951,0.00263329440783134,0.0105331776313254,0.00547778034711783,"847/5315/2023/2597",4
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","5/47","200/9376",0.025,4.98723404255319,4.04554507720161,0.00311375751070239,0.0121653781813489,0.00632660644769397,"3688/60/7846/7430/2597",5
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","5/47","205/9376",0.024390243902439,4.86559418785677,3.97193254275656,0.00346226986565214,0.0132195758506718,0.00687484207773033,"7040/7043/4313/1277/2597",5
"Organismal Systems","Immune system","hsa04611","Platelet activation","4/47","126/9376",0.0317460317460317,6.33299560959135,4.27762444539473,0.00354925842914967,0.0132505648021588,0.00689095788583445,"3688/3690/1277/60",4
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","4/47","130/9376",0.0307692307692308,6.13813420621931,4.18713724113952,0.00396961965615625,0.0144977413529185,0.00753955220734483,"7040/7422/4313/1277",4
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","5/47","216/9376",0.0231481481481481,4.61780929866036,3.81805192146152,0.00432696184856309,0.0151591815927684,0.00788353428696601,"6347/6648/3312/3320/3303",5
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","3/47","66/9376",0.0454545454545455,9.06769825918762,4.66835414628522,0.00433119474079096,0.0151591815927684,0.00788353428696601,"7040/7043/3586",3
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/47","139/9376",0.0287769784172662,5.74070105617634,3.99669970968068,0.00503646116581358,0.0172414547686938,0.0089664207130425,"4313/3312/3320/3303",4
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","6/47","323/9376",0.0185758513931889,3.70568473750082,3.51236154342242,0.00520733053142586,0.0172414547686938,0.0089664207130425,"3678/3690/7422/5155/89780/7430",6
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","5/47","227/9376",0.0220264317180617,4.39403880401162,3.67417585385956,0.00533664076173855,0.0172414547686938,0.0089664207130425,"3685/3690/7422/6347/6387",5
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","5/47","227/9376",0.0220264317180617,4.39403880401162,3.67417585385956,0.00533664076173855,0.0172414547686938,0.0089664207130425,"3082/7422/6647/6648/847",5
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","4/47","144/9376",0.0277777777777778,5.54137115839243,3.89795989307946,0.00570528781612161,0.0180846859077062,0.00940494317255399,"2247/3479/89780/7474",4
