"TF","CellType","Log2FC_Degen_vs_Normal"
"ERG","Smooth-Muscle",0.0695749787785733
"STAT5A","FC-Degenerated",-0.0691022744573154
"HOXA13","FC-Degenerated",-0.0685312953962372
"CDKN1A","FC-ECM",-0.0683538985820116
"SMAD1","FC-Degenerated",0.0667949888941269
"STAT1","FC-Metabolic",-0.0660810334665041
"SMAD1","FC-Metabolic",-0.065877787221681
"TBX5","Macrophage",0.065156772631145
"SMAD1","Smooth-Muscle",-0.0644651081699617
"ERG","OuterZone-FC",-0.0637433106996359
"CDKN2A","FC-ECM",0.0632963073901926
"SOX6","Proliferating-G2M",-0.0594471492471542
"FOXO3","Endothelial",0.0559586486942785
"RUNX2","Meniscus-Progenitor",0.0556712614029412
"HEY1","FC-Regulatory",-0.0555853371567417
"TBX5","FC-Regulatory",-0.0552925029063082
"EPAS1","Male-Inflammatory",0.0552423355093246
"LEF1","FC-Regulatory",-0.0546055784587369
"ZEB1","Macrophage",-0.054162572265707
"STAT3","Smooth-Muscle",-0.0527277621594666
"HEY1","OuterZone-FC",-0.0490862635441708
"TBX5","Endothelial",-0.0475206878755922
"CDKN2A","Male-Inflammatory",0.0466853384403929
"RUNX2","FC-ECM",-0.0462813775229578
"TP53","Proliferating-G2M",0.0445462077066867
"PITX1","Macrophage",0.0444509689759275
"ERG","FC-Degenerated",-0.0411235894199376
"LEF1","Secretory-Chondrocyte",0.0406014670089569
"SMAD3","Proliferating-G2M",-0.0391418963848542
"RUNX1","Proliferating-S",-0.0376896453603035
"LEF1","FC-ECM",0.0371471702567803
"CDKN2A","OuterZone-FC",-0.0365784060256401
"HEY1","FC-Metabolic",-0.0354736881552517
"LEF1","Male-Inflammatory",0.0353526176137411
"REL","Proliferating-S",-0.0349996993209266
"SNAI2","Endothelial",0.0343784276694191
"SMAD1","Macrophage",0.0331824762656457
"HEY1","Proliferating-M",-0.03281702018075
"ETS2","FC-Degenerated",-0.0327093452516221
"RELA","FC-ECM",-0.0326990494794419
"ZEB1","Proliferating-M",0.0321652218914783
"SNAI2","FC-ECM",0.0308589644611574
"FOXO3","FC-ECM",-0.0297324907554408
"RBPJ","Proliferating-G2M",0.0292684185626828
"STAT1","Macrophage",0.0291325332021981
"CTNNB1","Male-Inflammatory",0.0286363407497299
"FOXO3","Proliferating-M",-0.0285108942667978
"LEF1","Meniscus-Progenitor",-0.0280921935414251
"MYC","Proliferating-S",0.02621012942774
"ETS2","Proliferating-S",-0.0252390909660591
"LEF1","Proliferating-M",-0.0252259653159794
"MYC","Endothelial",-0.0240311756688915
"HOXA13","Endothelial",0.0227532485016302
"SOX6","Proliferating-S",-0.0208423726510565
"FOS","FC-Metabolic",0.0207499270499361
"REL","FC-ECM",0.0198143240088874
"SOX5","Proliferating-G2M",-0.0174298833466816
"PITX1","FC-ECM",0.0173593105275435
"HEY1","Proliferating-G2M",0.0168649888919456
"SMAD5","Proliferating-S",0.0167735153911601
"JUN","FC-Degenerated",0.0161884315992902
"HEY1","FC-ECM",0.0155184102221457
"HEY1","Secretory-Chondrocyte",0.0136452627560869
"CDKN2A","FC-Regulatory",-0.0131293688551104
"TCF7L2","Proliferating-G2M",0.0113636989909021
"RUNX1","FC-ECM",-0.0106694369221687
"PITX1","Proliferating-S",-0.0106064313028228
"LEF1","Proliferating-S",0.0101118583330958
"STAT5A","Proliferating-S",0.0100722510932087
"SMAD1","FC-Regulatory",-0.00976273981585769
"LEF1","Macrophage",0.00918590205085876
"SNAI1","Proliferating-S",-0.00899971033273206
"FOXO1","Proliferating-S",0.00888513444808048
"HOXA13","Proliferating-S",0.00810110223038513
"HEY1","FC-Degenerated",0.00803506791528181
"CDKN2A","FC-Metabolic",-0.00784265189372317
"HEY1","Proliferating-S",0.00336044749910202
"HEY1","Male-Inflammatory",0.00299229847250784
"STAT5A","FC-ECM",-0.00273689882091022
"TBX5","Proliferating-S",-0.00251288513497383
"MYC","Macrophage",-0.000295102942582545
"CDKN2A","Meniscus-Progenitor",0
"LEF1","OuterZone-FC",0
"SMAD1","OuterZone-FC",0
"CDKN2A","Smooth-Muscle",0
"LEF1","Stem-Progenitor",0
"CDKN2A","Stem-Progenitor",0
