"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.698471541894817,1,0.922,0,"0","BGN"
5.54863893928859e-231,0.506435684749929,0.999,0.977,1.40863296751719e-226,"0","ZFP36L1"
6.42148725301977e-230,0.502439916157413,0.998,0.948,1.63022296892413e-225,"0","COL6A3"
2.73336613310384e-220,0.993379765651625,0.954,0.688,6.93919660211072e-216,"0","FBLN1"
3.30964639697102e-217,0.743590722793643,0.978,0.816,8.40219930799033e-213,"0","SNHG5"
2.50569168403927e-179,0.711920614074339,0.96,0.822,6.36119947827049e-175,"0","FMOD"
1.31364746514772e-171,0.757007834706442,0.956,0.763,3.33495681977051e-167,"0","PCOLCE"
3.95306150027325e-170,1.27351814126673,0.802,0.481,1.00356372307437e-165,"0","NR4A3"
3.44143480845249e-167,0.580052979546971,0.997,0.908,8.73677054821833e-163,"0","HILPDA"
4.49836515120031e-164,0.519657530453705,0.99,0.911,1.14199996093522e-159,"0","COL5A2"
8.57048106725935e-160,0.55007886885007,0.982,0.914,2.17578802854513e-155,"0","RND3"
3.56217128839779e-159,0.614634102470904,0.969,0.852,9.04328424985547e-155,"0","LRP1"
1.17999490546992e-157,0.581582043988809,0.98,0.86,2.9956530665165e-153,"0","IFITM1"
3.43348320051122e-150,0.838268694816158,0.924,0.758,8.71658380113784e-146,"0","MGP"
1.71534323400495e-145,1.05044284700581,0.842,0.612,4.35474186816838e-141,"0","PGM2L1"
4.37275310235531e-141,1.23082092998592,0.743,0.434,1.11011083009494e-136,"0","EGLN3"
3.94382952166712e-136,0.84059318107364,0.874,0.699,1.00122000066563e-131,"0","PTGFR"
1.71427584187152e-135,0.865550796527445,0.866,0.646,4.35203207975923e-131,"0","MXRA8"
3.51427155846059e-129,0.627403018116104,0.95,0.82,8.92168120546389e-125,"0","SLC2A1"
5.34682833335017e-126,0.538373617136641,0.97,0.863,1.35739930898761e-121,"0","COL5A1"
2.88392162768846e-125,0.994571359386469,0.799,0.565,7.3214118362127e-121,"0","RIN2"
3.70820634477881e-119,0.863494333303235,0.868,0.63,9.41402344748997e-115,"0","C10orf10"
7.88515004565148e-119,0.586110965253926,0.949,0.849,2.00180304208954e-114,"0","MEDAG"
1.8309661811194e-118,0.802542522045695,0.923,0.728,4.64827384400782e-114,"0","IGFBP5"
2.82094747912999e-117,0.779481268636562,0.864,0.684,7.1615393652673e-113,"0","AEBP1"
9.56301372804211e-117,0.636699628442338,0.966,0.872,2.42776229513805e-112,"0","G0S2"
2.23628119608038e-113,0.628427419246687,0.926,0.785,5.67724707248927e-109,"0","PDGFRA"
8.52941501234948e-110,0.611373925324397,0.924,0.79,2.16536258918516e-105,"0","SLC7A5"
7.20535691012544e-108,0.92083111551198,0.782,0.586,1.82922395877355e-103,"0","SLC15A4"
1.10226435092854e-105,1.32254489056214,0.63,0.365,2.79831850770228e-101,"0","METTL7A"
1.42308639997121e-105,0.59860197416401,0.94,0.825,3.61278944360691e-101,"0","TNFAIP2"
2.84193708928054e-103,0.872098537866391,0.862,0.663,7.21482568855651e-99,"0","PRG4"
6.93262606015524e-102,0.883752947084274,0.806,0.604,1.75998577789161e-97,"0","REV3L"
1.2525666631828e-101,1.15017919255877,0.658,0.366,3.17989098782216e-97,"0","COL14A1"
4.38031780915875e-98,1.5248291552378,0.493,0.22,1.11203128221113e-93,"0","HTR2A"
1.10135246400016e-94,1.04830495684583,0.674,0.43,2.79600350035719e-90,"0","IL32"
2.33903197680712e-90,0.608632190532552,0.885,0.738,5.93810047952023e-86,"0","IFI44L"
1.33700822695489e-89,0.590409306707857,0.899,0.761,3.39426278577037e-85,"0","ADD3"
8.85832610209286e-89,1.40422850733798,0.559,0.314,2.24886324753832e-84,"0","NTRK2"
2.97564074727803e-88,0.659378230983702,0.851,0.714,7.55425916511474e-84,"0","IFNGR2"
4.98272264735092e-87,0.769412098295266,0.798,0.615,1.26496379848298e-82,"0","LHFPL2"
8.79909468135303e-87,0.524778360415686,0.943,0.82,2.23382616675509e-82,"0","TNFAIP3"
3.87338161540995e-85,0.776272127979128,0.809,0.629,9.83335390704125e-81,"0","SOD3"
6.44031261347332e-85,1.31212650313052,0.533,0.28,1.63500216318247e-80,"0","DDIT4L"
9.91445593068863e-85,0.551632438875111,0.902,0.774,2.51698292712392e-80,"0","SERPING1"
4.60600411502724e-84,0.764422407355607,0.792,0.657,1.16932626468197e-79,"0","EIF1B"
6.39045779378862e-81,0.516329862192442,0.88,0.8,1.62234552010912e-76,"0","CD276"
5.76891243882054e-80,0.921941417440897,0.696,0.483,1.46455380084337e-75,"0","GBP2"
6.8518851914357e-80,0.690027108840682,0.813,0.649,1.73948809354978e-75,"0","SCARA3"
1.76038004273474e-79,0.591479723943747,0.888,0.7,4.46907681449068e-75,"0","COL4A2"
1.04508605647148e-78,1.28005205102489,0.539,0.299,2.65315997156414e-74,"0","PCSK1"
