"Cell_Type","Treatability_Score","Top_Protein_Cargo","Top_miRNA_Cargo"
"Endothelial",0.841,"",""
"FC-Regulatory",0.769,"",""
"Macrophage",0.702,"",""
"FC-ECM",0.644,"",""
"Stem_Progenitor",0.592,"",""
