"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048705","skeletal system morphogenesis","5/19","232/18860",0.021551724137931,21.3929219600726,9.9248623244545,2.72530872520531e-06,0.000195866753163669,7.73314146282515e-05,"MMP13/COL1A1/SMAD2/BMP7/RUNX2",5
"GO:0090594","inflammatory response to wounding","3/19","30/18860",0.1,99.2631578947368,17.1044983031957,3.45923998639398e-06,0.000238255154062885,9.40670522615906e-05,"TLR4/HIF1A/PPARG",3
"GO:0001958","endochondral ossification","3/19","31/18860",0.0967741935483871,96.0611205432937,16.8210965822402,3.82743564369142e-06,0.000243336581500843,9.60732833639142e-05,"MMP13/COL1A1/RUNX2",3
"GO:0036075","replacement ossification","3/19","31/18860",0.0967741935483871,96.0611205432937,16.8210965822402,3.82743564369142e-06,0.000243336581500843,9.60732833639142e-05,"MMP13/COL1A1/RUNX2",3
"GO:0045444","fat cell differentiation","5/19","259/18860",0.0193050193050193,19.1627717943507,9.34647864238442,4.6681484327153e-06,0.000285794420714014,0.000112836336385321,"SOCS1/FOXO1/HMGA2/BMP7/PPARG",5
"GO:0048863","stem cell differentiation","5/19","265/18860",0.0188679245283019,18.7288977159881,9.22976696476546,5.21957403973214e-06,0.000306290565654331,0.000120928551409358,"SMAD5/HMGA2/HIF1A/BMP7/RUNX2",5
"GO:0030099","myeloid cell differentiation","6/19","481/18860",0.0124740124740125,12.3820986978882,8.03004728163348,5.45647696712933e-06,0.000306290565654331,0.000120928551409358,"TRAF6/SOCS1/TLR4/SMAD5/HIF1A/PPARG",6
"GO:0010661","positive regulation of muscle cell apoptotic process","3/19","35/18860",0.0857142857142857,85.0827067669173,15.8109283145034,5.55881244381727e-06,0.000306290565654331,0.000120928551409358,"PDCD4/FOXO1/PPARG",3
"GO:1904893","negative regulation of receptor signaling pathway via STAT","3/19","36/18860",0.0833333333333333,82.719298245614,15.584902073757,6.06030001589343e-06,0.00032315083633135,0.000127585263492493,"SOCS1/HMGA2/PPARG",3
"GO:0003007","heart morphogenesis","5/19","278/18860",0.0179856115107914,17.8530859522908,8.98958745441553,6.58998779155735e-06,0.000340414056857634,0.000134401066801498,"PDCD4/ADAMTS5/SMAD2/HIF1A/BMP7",5
"GO:0010717","regulation of epithelial to mesenchymal transition","4/19","128/18860",0.03125,31.0197368421053,10.8219107282734,7.24986496961501e-06,0.00034240076556496,0.000135185452065002,"COL1A1/PTEN/SMAD2/BMP7",4
"GO:0030278","regulation of ossification","4/19","128/18860",0.03125,31.0197368421053,10.8219107282734,7.24986496961501e-06,0.00034240076556496,0.000135185452065002,"SMAD2/HIF1A/BMP7/RUNX2",4
"GO:0030282","bone mineralization","4/19","128/18860",0.03125,31.0197368421053,10.8219107282734,7.24986496961501e-06,0.00034240076556496,0.000135185452065002,"MMP13/HIF1A/BMP7/RUNX2",4
"GO:0034391","regulation of smooth muscle cell apoptotic process","3/19","39/18860",0.0769230769230769,76.3562753036437,14.9594124432363,7.7422148392179e-06,0.000349569808453235,0.000138015908072089,"PDCD4/FOXO1/PPARG",3
"GO:0010721","negative regulation of cell development","5/19","288/18860",0.0173611111111111,17.2331871345029,8.81566051630294,7.8246115624741e-06,0.000349569808453235,0.000138015908072089,"SOCS1/TLR4/PTEN/HMGA2/BMP7",5
"GO:0034390","smooth muscle cell apoptotic process","3/19","40/18860",0.075,74.4473684210526,14.7666024187326,8.3646356529585e-06,0.000357683372915032,0.000141219276726411,"PDCD4/FOXO1/PPARG",3
"GO:0042476","odontogenesis","4/19","133/18860",0.0300751879699248,29.8535813217254,10.6041435175129,8.43899064953795e-06,0.000357683372915032,0.000141219276726411,"TRAF6/COL1A1/BMP7/RUNX2",4
"GO:0003203","endocardial cushion morphogenesis","3/19","41/18860",0.0731707317073171,72.6315789473684,14.5808330531864,9.01925844962374e-06,0.000371652546045314,0.000146734535962107,"ADAMTS5/SMAD2/BMP7",3
"GO:0048706","embryonic skeletal system development","4/19","136/18860",0.0294117647058824,29.1950464396285,10.4791753645019,9.21824221890978e-06,0.000371652546045314,0.000146734535962107,"COL1A1/SMAD2/BMP7/RUNX2",4
"GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation","3/19","43/18860",0.0697674418604651,69.2533659730722,14.2287669144837,1.04282411666247e-05,0.000410425777343585,0.000162042845195672,"PDCD4/PTEN/PPARG",3
"GO:0071560","cellular response to transforming growth factor beta stimulus","5/19","311/18860",0.0160771704180064,15.9587070570316,8.44691564507778,1.13552428344588e-05,0.000436516660589775,0.000172343954892642,"COL1A1/DKK3/SMAD5/SMAD2/PPARG",5
"GO:0038061","non-canonical NF-kappaB signal transduction","4/19","146/18860",0.0273972602739726,27.1953857245854,10.0902533090522,1.22030145517288e-05,0.000458445069409266,0.000181001651245738,"TRAF6/PDCD4/NLRP3/BMP7",4
