"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
0.263695367265908,1.37994005241384,0.133,0.064,1,"SDC1","FC-Regulatory"
0.265771464934531,-1.24618695914532,0,0.077,1,"PVR","FC-Regulatory"
0.269008207451344,-1.09906288315568,0.067,0.17,1,"CD4","FC-Regulatory"
0.27472505587467,-1.20362994861052,0,0.074,1,"NECTIN3","FC-Regulatory"
0.27770794504035,2.02978144956927,0.067,0.024,1,"MPZ","FC-Regulatory"
0.280878002910633,-1.36766133235706,0,0.072,1,"FZD4","FC-Regulatory"
0.284011531686905,-1.27566578273701,0,0.071,1,"ITGB3","FC-Regulatory"
0.28419773635913,-1.01406849921032,0.067,0.17,1,"DAG1","FC-Regulatory"
0.287237633880005,2.31871993285828,0.067,0.024,1,"GFRA2","FC-Regulatory"
0.295861698764922,0.149395584134954,0.933,0.908,1,"ITGA5","FC-Regulatory"
0.299984786559911,1.04351523527966,0.2,0.116,1,"ACVR1B","FC-Regulatory"
0.302542556442369,0.276234205875525,0.933,0.91,1,"FGFR1","FC-Regulatory"
0.303654626161784,-1.38293374402542,0,0.066,1,"CD74","FC-Regulatory"
0.309009206655002,-0.820074034956758,0.067,0.169,1,"LIFR","FC-Regulatory"
0.3151364244322,1.8260657783249,0.067,0.025,1,"NLGN1","FC-Regulatory"
0.327395148907952,-0.319330619535149,0.333,0.511,1,"TNFRSF1A","FC-Regulatory"
0.332308313805796,-0.953420053191408,0,0.059,1,"IL1RL2","FC-Regulatory"
0.353094266443535,-0.53037475916555,0.267,0.387,1,"ACVR1","FC-Regulatory"
0.360030269871503,-0.841629101609157,0,0.053,1,"PTCH1","FC-Regulatory"
0.362515668994995,1.91328198347946,0.067,0.028,1,"MERTK","FC-Regulatory"
0.363832796874075,3.01665169301728,0.067,0.029,1,"BMPR1B","FC-Regulatory"
0.372770570519601,-0.726448624223578,0,0.051,1,"IL1RAP","FC-Regulatory"
0.37714183030085,-0.76802097556559,0,0.05,1,"PECAM1","FC-Regulatory"
0.391316978893696,0.677450026420934,0.4,0.32,1,"ITGA1","FC-Regulatory"
0.427471094808775,-0.278230196995298,0.333,0.47,1,"FZD1","FC-Regulatory"
0.435733351987149,1.75122277636456,0.2,0.155,1,"ADORA2B","FC-Regulatory"
0.441838666083598,-0.326737561882344,0.067,0.142,1,"LRP6","FC-Regulatory"
0.442036428751635,-0.440573912951157,0.133,0.223,1,"SV2A","FC-Regulatory"
0.443260193742755,-0.161809335842335,0.333,0.457,1,"MPZL1","FC-Regulatory"
0.448154537630029,-0.481853226492816,0.2,0.29,1,"TGFBR1","FC-Regulatory"
0.449179610334174,0.207623988358867,0.8,0.708,1,"BDKRB1","FC-Regulatory"
0.45900799217949,0.13045149504644,0.2,0.295,1,"TNFRSF9","FC-Regulatory"
0.466505794650921,0.589320033504867,0.067,0.142,1,"CD40","FC-Regulatory"
0.475224922789844,0.327753466982165,0.067,0.14,1,"PLXND1","FC-Regulatory"
0.47533386429493,0.446769305906853,0.4,0.335,1,"TGFBR2","FC-Regulatory"
0.51346864215308,0.185055038954724,0.667,0.652,1,"IL13RA1","FC-Regulatory"
0.523219734010283,-0.144861104361167,0.667,0.716,1,"SDC2","FC-Regulatory"
0.531294214743712,1.3459064767399,0.067,0.037,1,"DSG2","FC-Regulatory"
0.538928340399835,-0.177417020437221,0.2,0.29,1,"IL13RA2","FC-Regulatory"
0.54410409035567,0.17239891381239,0.867,0.843,1,"ITGB5","FC-Regulatory"
0.551184322430476,-0.295623086200136,0.267,0.351,1,"CD99L2","FC-Regulatory"
0.564659227998591,-0.293182505139528,0.133,0.196,1,"IL7R","FC-Regulatory"
0.570168660311777,-0.127212482171746,0.067,0.118,1,"CAP1","FC-Regulatory"
0.576506465432825,0.707052262128125,0.267,0.23,1,"IL17RC","FC-Regulatory"
0.582786296494453,0.258639953337748,0.733,0.614,1,"IL1R1","FC-Regulatory"
0.58755314960548,-0.270140529788173,0.133,0.196,1,"PARD3","FC-Regulatory"
0.597031271951215,-0.152333542690589,0.067,0.111,1,"CNTNAP1","FC-Regulatory"
0.607839813312719,0.31694432528944,0.6,0.618,1,"CDH11","FC-Regulatory"
0.620608087023724,0.655041819754432,0.067,0.115,1,"CADM3","FC-Regulatory"
0.624669678360252,0.446451510534894,0.267,0.225,1,"MET","FC-Regulatory"
0.625753620434441,1.02504655356024,0.133,0.104,1,"BMPR1A","FC-Regulatory"
0.634934156965623,0.161686191421721,0.4,0.326,1,"JAM3","FC-Regulatory"
0.667773901466329,0.599188539663604,0.333,0.307,1,"PLXNA3","FC-Regulatory"
0.680435384994561,0.400709505240323,0.4,0.361,1,"CADM1","FC-Regulatory"
0.69903251771977,0.491526567200358,0.2,0.169,1,"PLXNA1","FC-Regulatory"
0.709892461149631,0.381172116726016,0.533,0.548,1,"LTBR","FC-Regulatory"
0.719247303593251,0.716764634743054,0.067,0.101,1,"TNFRSF10A","FC-Regulatory"
0.722976967324358,0.893868152313026,0.067,0.047,1,"IL3RA","FC-Regulatory"
0.729365069538491,0.772059198413108,0.067,0.1,1,"IFNAR2","FC-Regulatory"
0.740911930011969,1.35049481571724,0.067,0.051,1,"TLR4","FC-Regulatory"
0.747497858581042,0.192212635661698,0.067,0.093,1,"EPOR","FC-Regulatory"
0.748358539675129,-0.217395880560684,0.667,0.922,1,"NCL","FC-Regulatory"
0.762159886322892,-0.144196443387546,0.667,0.854,1,"IFNGR2","FC-Regulatory"
0.76544200680724,0.117446661977248,0.4,0.539,1,"ITGAV","FC-Regulatory"
0.790476939192567,0.155540226932676,0.667,0.651,1,"IFNAR1","FC-Regulatory"
0.803044535926453,0.497947626060797,0.133,0.178,1,"JAG1","FC-Regulatory"
0.83982973480657,0.944262194808114,0.133,0.123,1,"NPR3","FC-Regulatory"
0.847932198708344,1.07908593547446,0.067,0.086,1,"IL6R","FC-Regulatory"
0.882155882610733,1.3693101108063,0.067,0.061,1,"FLT1","FC-Regulatory"
0.882470907968092,0.298357696578555,0.2,0.193,1,"ALCAM","FC-Regulatory"
0.891023291707741,0.739886194845914,0.067,0.059,1,"AGTR1","FC-Regulatory"
0.896255119232642,0.132631102260086,0.6,0.773,1,"VCAM1","FC-Regulatory"
0.905304603219618,0.430420265434279,0.067,0.076,1,"CHRNB1","FC-Regulatory"
0.919657180921296,1.7300824708746,0.067,0.064,1,"CXCR4","FC-Regulatory"
0.919741854981685,0.368793108295395,0.133,0.151,1,"NECTIN1","FC-Regulatory"
0.95517424356311,1.23410148672262,0.067,0.067,1,"FZD3","FC-Regulatory"
0.956203204511515,0.467438097164668,0.067,0.071,1,"PTH1R","FC-Regulatory"
0.959103591050776,0.37427824534166,0.133,0.14,1,"CD274","FC-Regulatory"
0.972385332661206,0.109202581047863,0.133,0.134,1,"ITGAE","FC-Regulatory"
0.973270071626248,0.115177131715296,0.133,0.139,1,"EDNRA","FC-Regulatory"
0.977526834190616,0.533538549400987,0.067,0.064,1,"ACKR4","FC-Regulatory"
0.977665329752113,0.508882762589429,0.067,0.065,1,"FZD6","FC-Regulatory"
0.981232347240089,0.229592106198368,0.333,0.379,1,"INSR","FC-Regulatory"
1.61128806926953e-08,2.54035840792079,0.85,0.262,0.000409057702145456,"APLNR","Endothelial"
1.38100507879651e-05,-5.07750173976796,0.05,0.607,0.350595759354071,"SELE","Endothelial"
0.000317572287590601,-0.695001577760536,0.8,0.976,1,"MCAM","Endothelial"
0.000435070650387301,-1.06306185833677,0.55,0.869,1,"ACKR3","Endothelial"
0.000696986103874724,1.03213009210581,0.9,0.702,1,"KDR","Endothelial"
